,index_x,PassengerId,Survived,Pclass,Name,Sex,Age_x,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Surname_x,Firstname,Othernames,KaggleAge,index_y,Surname_y,First Names,Age_y,Boarded,Survivor (S) or Victim (†),AgeDiff
22,297,298,0.0,1,AllisonMiss Helen Loraine,female,2.0,1,2,113781,151.55,C22 C26,S,Miss,Allison,Helen,,2.0,23.0,Allison,Miss Helen Loraine,2.0,Southampton,†,0.0
23,119,120,0.0,3,AnderssonMiss Ellis Anna Maria,female,2.0,4,2,347082,31.275,,S,Miss,Andersson,Ellis,Anna,2.0,32.0,Andersson,Miss Ellis Anna Maria,2.0,Southampton,†,0.0
24,479,480,1.0,3,HirvonenMiss Hildur Elisabeth,female,2.0,0,1,3101298,12.2875,,S,Miss,Hirvonen,Hildur,,2.0,546.0,Hirvonen,Miss Hildur Elisabeth,2.0,Southampton,S,0.0
25,340,341,1.0,2,NavratilMaster Edmond Roger,male,2.0,1,1,230080,26.0,F2,S,Master,Navratil,Edmond,,2.0,866.0,Navratil,Master Edmond Roger,2.0,Southampton,S,0.0
26,7,8,0.0,3,PålssonMaster Gösta Leonard,male,2.0,3,1,349909,21.075,,S,Master,Palsson,Gosta,,2.0,979.0,Pålsson,Master Gösta Leonard,2.0,Southampton,†,0.0
27,824,825,0.0,3,PanulaMaster Urho Abraham,male,2.0,4,1,3101295,39.6875,,S,Master,Panula,Urho,,2.0,925.0,Panula,Master Urho Abraham,2.0,Southampton,†,0.0
28,530,531,1.0,2,QuickMiss Phyllis May,female,2.0,1,1,26360,26.0,,S,Miss,Quick,Phyllis,,2.0,984.0,Quick,Miss Phyllis May,2.0,Southampton,S,0.0
29,16,17,0.0,3,RiceMaster Eugene Francis,male,2.0,4,1,382652,29.125,,Q,Master,Rice,Eugene,,2.0,1003.0,Rice,Master Eugene Francis,2.0,Queenstown,†,0.0
30,1175,1176,,3,RosblomMiss Salli Helena,female,2.0,1,1,370129,20.2125,,S,Miss,Rosblom,Salli,,2.0,1027.0,Rosblom,Miss Salli Helena,2.0,Southampton,†,0.0
31,642,643,0.0,3,SkoogMiss Margit Elizabeth,female,2.0,3,2,347088,27.9,,S,Miss,Skoog,Margit,,2.0,1113.0,Skoog,Miss Margit Elizabeth,2.0,Southampton,†,0.0
32,205,206,0.0,3,StrömMiss Telma Matilda,female,2.0,0,1,347054,10.4625,G6,S,Miss,Strom,Telma,,2.0,1160.0,Ström,Miss Telma Matilda,2.0,Southampton,†,0.0
33,980,981,,2,WellsMaster Ralph Lester,male,2.0,1,1,29103,23.0,,S,Master,Wells,Ralph,,2.0,1259.0,Wells,Master Ralph Lester,2.0,Southampton,S,0.0
34,261,262,1.0,3,AsplundMaster Edvin Rojj Felix,male,3.0,4,2,347077,31.3875,,S,Master,Asplund,Edvin,Rojj,3.0,57.0,Asplund,Master Edvin Rojj Felix,3.0,Southampton,S,0.0
35,348,349,1.0,3,CouttsMaster William Loch,male,3.0,1,1,C.A. 37671,15.9,,S,Master,Coutts,William,Loch,3.0,274.0,Coutts,Master William Loch,9.0,Southampton,S,-6.0
36,43,44,1.0,2,LarocheMiss Simonne Marie Anne Andrée,female,3.0,1,2,SC/Paris 2123,41.5792,,C,Miss,Laroche,Simonne,Marie Anne,3.0,691.0,Laroche,Miss Simonne Marie Anne Andrée,3.0,Cherbourg,S,0.0
37,193,194,1.0,2,NavratilMaster Michel Marcel,male,3.0,1,1,230080,26.0,F2,S,Master,Navratil,Michel,,3.0,867.0,Navratil,Master Michel Marcel,3.0,Southampton,S,0.0
38,374,375,0.0,3,PålssonMiss Stina Viola,female,3.0,3,1,349909,21.075,,S,Miss,Palsson,Stina,,3.0,981.0,Pålsson,Miss Stina Viola,3.0,Southampton,†,0.0
39,1300,1301,,3,PeacockMiss Treasteall,female,3.0,1,1,SOTON/O.Q. 3101315,13.775,,S,Miss,Peacock,Treasteall,,3.0,938.0,Peacock,Miss Treasteall,3.0,Southampton,†,0.0
40,407,408,1.0,2,RichardsMaster William Rowe,male,3.0,1,1,29106,18.75,,S,Master,Richards,William,,3.0,1008.0,Richards,Master William Rowe,3.0,Southampton,S,0.0
41,850,851,0.0,3,AnderssonMaster Sigvard Harald Elias,male,4.0,4,2,347082,31.275,,S,Master,Andersson,Sigvard,Harald,4.0,30.0,Andersson,Master Sigvard Harald Elias,4.0,Southampton,†,0.0
42,618,619,1.0,2,BeckerMiss Marion Louise,female,4.0,2,1,230136,39.0,F4,S,Miss,Becker,Marion,,4.0,104.0,Becker,Miss Marion Louise,4.0,Southampton,S,0.0
43,445,446,1.0,1,DodgeMaster Washington,male,4.0,0,2,33638,81.8583,A34,S,Master,Dodge,Washington,,4.0,337.0,Dodge,Master Washington,4.0,Southampton,S,0.0
44,869,870,1.0,3,JohnsonMaster Harold Theodor,male,4.0,1,1,347742,11.1333,,S,Master,Johnson,Harold,,4.0,611.0,Johnson,Master Harold Theodor,4.0,Southampton,S,0.0
45,691,692,1.0,3,KarunMiss Manca,female,4.0,0,1,349256,13.4167,,C,Miss,Karun,Manca,,4.0,639.0,Karun,Miss Manca,4.0,Cherbourg,S,0.0
46,184,185,1.0,3,Kink-HeilmannMiss Luise Gretchen,female,4.0,0,2,315153,22.025,,S,Miss,Kink-Heilmann,Luise,,4.0,666.0,Kink-Heilmann,Miss Luise Gretchen,4.0,Southampton,S,0.0
47,171,172,0.0,3,RiceMaster Arthur,male,4.0,4,1,382652,29.125,,Q,Master,Rice,Arthur,,4.0,1001.0,Rice,Master Arthur,4.0,Queenstown,†,0.0
48,10,11,1.0,3,SandströmMiss Marguerite Rut,female,4.0,1,1,PP 9549,16.7,G6,S,Miss,Sandstrom,Marguerite,,4.0,1072.0,Sandström,Miss Marguerite Rut,4.0,Southampton,S,0.0
49,63,64,0.0,3,SkoogMaster Harald,male,4.0,3,2,347088,27.9,,S,Master,Skoog,Harald,,4.0,1110.0,Skoog,Master Harald,5.0,Southampton,†,-1.0
50,750,751,1.0,2,WellsMiss Joan,female,4.0,1,1,29103,23.0,,S,Miss,Wells,Joan,,4.0,1260.0,Wells,Miss Joan,4.0,Southampton,S,0.0
51,1270,1271,,3,AsplundMaster Carl Edgar,male,5.0,4,2,347077,31.3875,,S,Master,Asplund,Carl,,5.0,55.0,Asplund,Master Carl Edgar,5.0,Southampton,†,0.0
52,233,234,1.0,3,AsplundMiss Lillian Gertrud,female,5.0,4,2,347077,31.3875,,S,Miss,Asplund,Lillian,,5.0,59.0,Asplund,Miss Lillian Gertrud,5.0,Southampton,S,0.0
53,448,449,1.0,3,BacliniMiss Marie Catherine,female,5.0,2,1,2666,19.2583,,C,Miss,Baclini,Marie,,5.0,76.0,Baclini,Miss Marie Catherine,5.0,Cherbourg,S,0.0
54,777,778,1.0,3,EmanuelMiss Virginia Ethel,female,5.0,0,0,364516,12.475,,S,Miss,Emanuel,Virginia,,5.0,375.0,Emanuel,Miss Virginia Ethel,5.0,Southampton,S,0.0
55,58,59,1.0,2,WestMiss Constance Mirium,female,5.0,1,2,C.A. 34651,27.75,,S,Miss,West,Constance,,5.0,1264.0,West,Miss Constance Mirium,4.0,Southampton,S,1.0
56,813,814,0.0,3,AnderssonMiss Ebba Iris Alfrida,female,6.0,4,2,347082,31.275,,S,Miss,Andersson,Ebba,Iris,6.0,31.0,Andersson,Miss Ebba Iris Alfrida,6.0,Southampton,†,0.0
57,971,972,,3,BūlusMaster Akar,male,6.0,1,1,2678,15.2458,,C,Master,Boulos,Akar,,6.0,173.0,Būlus,Master Akar,9.0,Cherbourg,†,-3.0
58,720,721,1.0,2,HarperMiss Annie Jessie,female,6.0,0,1,248727,33.0,,S,Miss,Harper,Annie,Jessie,6.0,502.0,Harper,Miss Annie Jessie,6.0,Southampton,S,0.0
59,751,752,1.0,3,MoorMaster Meier,male,6.0,0,1,392096,12.475,E121,S,Master,Moor,Meier,,6.0,820.0,Moor,Master Meier,7.0,Southampton,S,-1.0
60,1280,1281,,3,PålssonMaster Paul Folke,male,6.0,3,1,349909,21.075,,S,Master,Palsson,Paul,,6.0,980.0,Pålsson,Master Paul Folke,6.0,Southampton,†,0.0
61,1087,1088,,1,SpeddenMaster Robert Douglas,male,6.0,0,2,16966,134.5,E34,C,Master,Spedden,Robert,,6.0,1135.0,Spedden,Master Robert Douglas,6.0,Cherbourg,S,0.0
62,535,536,1.0,2,HartMiss Eva Miriam,female,7.0,0,2,F.C.C. 13529,26.25,,S,Miss,Hart,Eva,,7.0,512.0,Hart,Miss Eva Miriam,7.0,Southampton,S,0.0
63,50,51,0.0,3,PanulaMaster Juha Niilo,male,7.0,4,1,3101295,39.6875,,S,Master,Panula,Juha,,7.0,924.0,Panula,Master Juha Niilo,7.0,Southampton,†,0.0
64,278,279,0.0,3,RiceMaster Eric,male,7.0,4,1,382652,29.125,,Q,Master,Rice,Eric,,7.0,1002.0,Rice,Master Eric,7.0,Queenstown,†,0.0
65,1052,1053,,3,No name match,male,7.0,1,1,2650,15.2458,,C,Master,Touma,Georges,,7.0,,,,,,,
66,237,238,1.0,2,CollyerMiss Marjorie Lottie,female,8.0,0,2,C.A. 31921,26.25,,S,Miss,Collyer,Marjorie,,8.0,250.0,Collyer,Miss Marjorie Lottie,8.0,Southampton,S,0.0
67,549,550,1.0,2,DaviesMaster John Morgan Jr,male,8.0,1,1,C.A. 33112,36.75,,S,Master,Davies,John,Morgan,8.0,303.0,Davies,Master John Morgan Jr,8.0,Southampton,S,0.0
68,1085,1086,,2,DrewMaster Marshall Brines,male,8.0,0,2,28220,32.5,,S,Master,Drew,Marshall,,8.0,352.0,Drew,Master Marshall Brines,8.0,Southampton,S,0.0
69,24,25,0.0,3,PålssonMiss Torborg Danira,female,8.0,3,1,349909,21.075,,S,Miss,Palsson,Torborg,,8.0,982.0,Pålsson,Miss Torborg Danira,8.0,Southampton,†,0.0
70,1094,1095,,2,QuickMiss Winifred Vera,female,8.0,1,1,26360,26.0,,S,Miss,Quick,Winifred,,8.0,985.0,Quick,Miss Winifred Vera,8.0,Southampton,S,0.0
71,787,788,0.0,3,RiceMaster George Hugh,male,8.0,4,1,382652,29.125,,Q,Master,Rice,George,,8.0,1004.0,Rice,Master George Hugh,8.0,Queenstown,†,0.0
72,541,542,0.0,3,AnderssonMiss Ingeborg Constanzia,female,9.0,4,2,347082,31.275,,S,Miss,Andersson,Ingeborg,,9.0,35.0,Andersson,Miss Ingeborg Constanzia,9.0,Southampton,†,0.0
73,182,183,0.0,3,AsplundMaster Clarence Gustaf Hugo,male,9.0,4,2,347077,31.3875,,S,Master,Asplund,Clarence,Gustaf,9.0,56.0,Asplund,Master Clarence Gustaf Hugo,9.0,Southampton,†,0.0
74,852,853,0.0,3,No name match,female,9.0,1,1,2678,15.2458,,C,Miss,Boulos,Nourelain,,9.0,,,,,,,
75,489,490,1.0,3,CouttsMaster Neville Leslie,male,9.0,1,1,C.A. 37671,15.9,,S,Master,Coutts,Eden,Leslie,9.0,273.0,Coutts,Master Neville Leslie,3.0,Southampton,S,6.0
76,147,148,0.0,3,FordMiss Robina Maggie,female,9.0,2,2,W./C. 6608,34.375,,S,Miss,Ford,Robina,Maggie,9.0,400.0,Ford,Miss Robina Maggie,7.0,Southampton,†,2.0
77,165,166,1.0,3,GoldsmithMaster Frank John William,male,9.0,0,2,363291,20.525,,S,Master,Goldsmith,Frank,John William,9.0,456.0,Goldsmith,Master Frank John William,9.0,Southampton,S,0.0
78,480,481,0.0,3,GoodwinMaster Harold Victor,male,9.0,5,2,CA 2144,46.9,,S,Master,Goodwin,Harold,,9.0,460.0,Goodwin,Master Harold Victor,9.0,Southampton,†,0.0
79,912,913,,3,OlsenMaster Artur Karl,male,9.0,0,1,C 17368,3.1708,,S,Master,Olsen,Artur,,9.0,892.0,Olsen,Master Artur Karl,9.0,Southampton,S,0.0
80,634,635,0.0,3,SkoogMiss Mabel,female,9.0,3,2,347088,27.9,,S,Miss,Skoog,Mabel,,9.0,1112.0,Skoog,Miss Mabel,9.0,Southampton,†,0.0
81,1174,1175,,3,No name match,female,9.0,1,1,2650,15.2458,,C,Miss,Touma,Maria,,9.0,,,,,,,
82,1031,1032,,3,GoodwinMiss Jessie Allis,female,10.0,5,2,CA 2144,46.9,,S,Miss,Goodwin,Jessie,,10.0,463.0,Goodwin,Miss Jessie Allis,10.0,Southampton,†,0.0
83,946,947,,3,RiceMaster Albert,male,10.0,4,1,382652,29.125,,Q,Master,Rice,Albert,,10.0,1000.0,Rice,Master Albert,10.0,Queenstown,†,0.0
84,819,820,0.0,3,SkoogMaster Karl Thorsten,male,10.0,3,2,347088,27.9,,S,Master,Skoog,Karl,,10.0,1111.0,Skoog,Master Karl Thorsten,11.0,Southampton,†,-1.0
85,419,420,0.0,3,Van ImpeMiss Catharina,female,10.0,0,2,345773,24.15,,S,Miss,Van Im,Catharina,,10.0,1224.0,Van Impe,Miss Catharina,10.0,Southampton,†,0.0
86,542,543,0.0,3,AnderssonMiss Sigrid Elisabeth,female,11.0,4,2,347082,31.275,,S,Miss,Andersson,Sigrid,,11.0,36.0,Andersson,Miss Sigrid Elisabeth,11.0,Southampton,†,0.0
87,802,803,1.0,1,CarterMaster William Thornton II,male,11.0,1,2,113760,120.0,B96 B98,S,Master,Carter,William,Thornton,11.0,205.0,Carter,Master William Thornton II,11.0,Southampton,S,0.0
88,59,60,0.0,3,GoodwinMaster William Frederick,male,11.0,5,2,CA 2144,46.9,,S,Master,Goodwin,William,,11.0,462.0,Goodwin,Master William Frederick,11.0,Southampton,†,0.0
89,731,732,0.0,3,No name match,male,11.0,0,0,2699,18.7875,,C,Mr,Hassan,Houssein,G,11.0,,,,,,,
90,1083,1084,,3,Van BilliardMaster Walter John,male,11.5,1,1,A/5. 851,14.5,,S,Master,van Bi,Walter,,11.5,1219.0,Van Billiard,Master Walter John,9.0,Southampton,†,2.5
91,1217,1218,,2,BeckerMiss Ruth Elizabeth,female,12.0,2,1,230136,39.0,F4,S,Miss,Becker,Ruth,,12.0,105.0,Becker,Miss Ruth Elizabeth,12.0,Southampton,S,0.0
92,125,126,1.0,3,No name match,male,12.0,1,0,2651,11.2417,,C,Master,Nicola-Yarred,Elias,,12.0,,,,,,,
93,1011,1012,,2,IlettMiss Bertha,female,12.0,0,0,C.A. 33595,15.75,,S,Miss,Watt,Bertha,,12.0,581.0,Ilett,Miss Bertha,17.0,Southampton,†,-5.0
94,1283,1284,,3,AbbottMr Eugene Joseph,male,13.0,0,2,C.A. 2673,20.25,,S,Master,Abbott,Eugene,,13.0,2.0,Abbott,Mr Eugene Joseph,14.0,Southampton,†,-1.0
95,1045,1046,,3,AsplundMaster Filip Oscar,male,13.0,4,2,347077,31.3875,,S,Master,Asplund,Filip,,13.0,58.0,Asplund,Master Filip Oscar,13.0,Southampton,†,0.0
96,780,781,1.0,3,Ayoub DaherMiss Banoura,female,13.0,0,0,2687,7.2292,,C,Miss,Ayoub,Banoura,,13.0,71.0,Ayoub Daher,Miss Banoura,15.0,Cherbourg,S,-2.0
97,446,447,1.0,2,MellingerMiss Violet Madeline,female,13.0,0,1,250644,19.5,,S,Miss,Mellinger,Madeleine,,13.0,795.0,Mellinger,Miss Violet Madeline,13.0,Southampton,S,0.0
98,955,956,,1,RyersonMaster John Borie,male,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Master,Ryerson,John,,13.0,1043.0,Ryerson,Master John Borie,13.0,Cherbourg,S,0.0
99,435,436,1.0,1,CarterMiss Lucile Polk,female,14.0,1,2,113760,120.0,B96 B98,S,Miss,Carter,Lucile,,14.0,206.0,Carter,Miss Lucile Polk,13.0,Southampton,S,1.0
100,683,684,0.0,3,GoodwinMr Charles Edward,male,14.0,5,2,CA 2144,46.9,,S,Mr,Goodwin,Charles,,14.0,465.0,Goodwin,Mr Charles Edward,14.0,Southampton,†,0.0
101,9,10,1.0,2,NasserMr Nicholas,female,14.0,1,0,237736,30.0708,,C,Mrs,Nasser,Adele,Achem,14.0,861.0,Nasser,Mr Nicholas,28.0,Cherbourg,†,-14.0
102,39,40,1.0,3,No name match,female,14.0,1,0,2651,11.2417,,C,Miss,Nicola-Yarred,Jamila,,14.0,,,,,,,
103,686,687,0.0,3,PanulaMaster Jaako Arnold,male,14.0,4,1,3101295,39.6875,,S,Mr,Panula,Jaako,,14.0,923.0,Panula,Master Jaako Arnold,14.0,Southampton,†,0.0
104,896,897,,3,SvenssonMr Johan Cervin,male,14.0,0,0,7538,9.225,,S,Mr,Svensson,Johan,,14.0,1168.0,Svensson,Mr Johan Cervin,14.0,Southampton,S,0.0
105,1121,1122,,2,SweetMr George Frederick,male,14.0,0,0,220845,65.0,,S,Mr,Sweet,George,,14.0,1171.0,Sweet,Mr George Frederick,14.0,Southampton,†,0.0
106,14,15,0.0,3,VeströmMiss Hulda Amanda Adolfina,female,14.0,0,0,350406,7.8542,,S,Miss,Vestrom,Hulda,Amanda,14.0,1237.0,Veström,Miss Hulda Amanda Adolfina,14.0,Southampton,†,0.0
107,1251,1252,,3,SageMaster Thomas Henry,male,14.5,8,2,CA. 2343,69.55,,S,Master,Sage,William,,14.5,1054.0,Sage,Master Thomas Henry,4.0,Southampton,†,10.5
108,111,112,0.0,3,Jabbur (Zabour)Miss Hileni,female,14.5,1,0,2665,14.4542,,C,Miss,Zabour,Hileni,,14.5,588.0,Jabbur (Zabour),Miss Hileni,16.0,Cherbourg,†,-1.5
109,1066,1067,,2,BrownMiss Edith Eileen,female,15.0,0,2,29750,39.0,,S,Miss,Brown,Edith,,15.0,154.0,Brown,Miss Edith Eileen,15.0,Southampton,S,0.0
110,352,353,0.0,3,Elias NasrallahMr Tannous,male,15.0,1,1,2695,7.2292,,C,Mr,Elias,Tannous,,15.0,373.0,Elias Nasrallah,Mr Tannous,22.0,Cherbourg,†,-7.0
111,689,690,1.0,1,MadillMiss Georgette Alexandra,female,15.0,0,1,24160,211.3375,B5,S,Miss,Madill,Georgette,,15.0,748.0,Madill,Miss Georgette Alexandra,16.0,Southampton,S,-1.0
112,22,23,1.0,3,McGowanMiss Anna Louise,female,15.0,0,0,330923,8.0292,,Q,Miss,McGowan,Anna,,15.0,785.0,McGowan,Miss Anna Louise,17.0,Queenstown,†,-2.0
113,875,876,1.0,3,No name match,female,15.0,0,0,2667,7.225,,C,Miss,Najib,Adele,Kiamie,15.0,,,,,,,
114,830,831,1.0,3,No name match,female,15.0,1,0,2659,14.4542,,C,Mrs,Yasbeck,Selini,Alexander,15.0,,,,,,,
115,746,747,0.0,3,AbbottMr Rossmore Edward,male,16.0,1,1,C.A. 2673,20.25,,S,Mr,Abbott,Rossmore,,16.0,3.0,Abbott,Mr Rossmore Edward,16.0,Southampton,†,0.0
116,1236,1237,,3,AbelsethMiss Karen Marie,female,16.0,0,0,348125,7.65,,S,Miss,Abelseth,Karen,,16.0,5.0,Abelseth,Miss Karen Marie,16.0,Southampton,S,0.0
117,208,209,1.0,3,CorrMiss Ellen,female,16.0,0,0,367231,7.75,,Q,Miss,Carr,Helen,,16.0,271.0,Corr,Miss Ellen,16.0,Queenstown,S,0.0
118,764,765,0.0,3,EklundMr Hans Linus,male,16.0,0,0,347074,7.775,,S,Mr,Eklund,Hans,,16.0,369.0,Eklund,Mr Hans Linus,16.0,Southampton,†,0.0
119,86,87,0.0,3,FordMr William Neal Thomas,male,16.0,1,3,W./C. 6608,34.375,,S,Mr,Ford,William,,16.0,403.0,Ford,Mr William Neal Thomas,16.0,Southampton,†,0.0
120,791,792,0.0,2,GaskellMr William Alfred,male,16.0,0,0,239865,26.0,,S,Mr,Gaskell,Alfred,,16.0,433.0,Gaskell,Mr William Alfred,19.0,Southampton,†,-3.0
121,156,157,1.0,3,GilnaghMiss Katherine,female,16.0,0,0,35851,7.7333,,Q,Miss,Gilnagh,Katherine,,16.0,450.0,Gilnagh,Miss Katherine,17.0,Queenstown,S,-1.0
122,71,72,0.0,3,GoodwinMiss Lillian Amy,female,16.0,5,2,CA 2144,46.9,,S,Miss,Goodwin,Lillian,,16.0,464.0,Goodwin,Miss Lillian Amy,16.0,Southampton,†,0.0
123,329,330,1.0,1,HippachMiss Jean Gertrude,female,16.0,0,1,111361,57.9792,B18,C,Miss,Hippach,Jean,,16.0,544.0,Hippach,Miss Jean Gertrude,17.0,Cherbourg,S,-1.0
124,853,854,1.0,1,LinesMiss Mary Conover,female,16.0,0,1,PC 17592,39.4,D28,S,Miss,Lines,Mary,,16.0,722.0,Lines,Miss Mary Conover,16.0,Cherbourg,S,0.0
125,504,505,1.0,1,No name match,female,16.0,0,0,110152,86.5,B79,S,Miss,Maioni,Roberta,,16.0,,,,,,,
126,841,842,0.0,2,MuddMr Thomas Cupper,male,16.0,0,0,S.O./P.P. 3,10.5,,S,Mr,Mudd,Thomas,,16.0,836.0,Mudd,Mr Thomas Cupper,16.0,Southampton,†,0.0
127,138,139,0.0,3,OsénMr Olaf Elon,male,16.0,0,0,7534,9.2167,,S,Mr,Osen,Olaf,,16.0,905.0,Osén,Mr Olaf Elon,16.0,Southampton,†,0.0
128,266,267,0.0,3,PanulaMr Ernesti Arvid,male,16.0,4,1,3101295,39.6875,,S,Mr,Panula,Ernesti,,16.0,926.0,Panula,Mr Ernesti Arvid,16.0,Southampton,†,0.0
129,574,575,0.0,3,RushMr Alfred George John,male,16.0,0,0,A/4. 20589,8.05,,S,Mr,Rush,Alfred,George,16.0,1040.0,Rush,Mr Alfred George John,17.0,Southampton,†,-1.0
130,220,221,1.0,3,SunderlandMr Victor Francis,male,16.0,0,0,SOTON/OQ 392089,8.05,,S,Mr,Sunderland,Victor,,16.0,1163.0,Sunderland,Mr Victor Francis,20.0,Southampton,S,-4.0
131,995,996,,3,No name match,female,16.0,1,1,2625,8.5167,,C,Mrs,Thomas,Alexander,(Thamine,16.0,,,,,,,
132,333,334,0.0,3,VanderplanckeMr Leo Edmondus,male,16.0,2,0,345764,18.0,,S,Mr,Vander Plank,Leo,,16.0,1231.0,Vanderplancke,Mr Leo Edmondus,15.0,Southampton,†,1.0
133,282,283,0.0,3,De PelsmaekerMr Alfons,male,16.0,0,0,345778,9.5,,S,Mr,de P,Alfons,,16.0,316.0,De Pelsmaeker,Mr Alfons,16.0,Southampton,†,0.0
134,68,69,1.0,3,AnderssonMiss Erna Alexandra,female,17.0,4,2,3101281,7.925,,S,Miss,Andersson,Erna,,17.0,33.0,Andersson,Miss Erna Alexandra,17.0,Southampton,S,0.0
135,114,115,0.0,3,AttalahMiss Malake,female,17.0,0,0,2627,14.4583,,C,Miss,Attalah,Malake,,17.0,68.0,Attalah,Miss Malake,17.0,Cherbourg,†,0.0
136,163,164,0.0,3,CalicMr Jovo,male,17.0,0,0,315093,8.6625,,S,Mr,Calic,Jovo,,17.0,185.0,Calic,Mr Jovo,17.0,Southampton,†,0.0
